Draw,Year,Country,Artist,Male singer,Female Singer,Duo,Band,Experienced artist,Song,Language,Final,Host,Rank,Score,Countries Voting,Countries competing,Date of contest,Official video,Videocounts,Total Videocounts for round
8,2000,Norway,Charmed,,,,1,,"""My Heart Goes Boom""",English,1,,11,57,24,24,,,,
9,2000,Russia,Alsou,,1,,,,"""Solo""",English,1,,2,155,24,24,,,,
10,2000,Belgium,Nathalie Sorce,,1,,,,"""Envie de vivre""",French,1,,24,2,24,24,,,,
11,2000,Cyprus,Voice,1,1,1,,,"""Nomiza"" (??????)","Greek,?Italian",1,,21,8,24,24,,,,
12,2000,Iceland,August & Telma,1,1,1,,,"""Tell Me!""",English,1,,12,45,24,24,,,,
13,2000,Spain,Seraf?n Zubiri,1,,,,1,"""Colgado de un sue?o""",Spanish,1,,18,18,24,24,,,,
14,2000,Denmark,Olsen Brothers,1,,1,,1,"""Fly on the Wings of Love""",English,1,,1,195,24,24,,,,
15,2000,Germany,Stefan Raab,1,,,,1,"""Wadde hadde dudde da?""","German, English",1,,5,96,24,24,,,,
16,2000,Switzerland,Jane Bogaert,,1,,,1,"""La vita cos'??""",Italian,1,,20,14,24,24,,,,
17,2000,Croatia,Goran Karan,1,,,,1,"""Kad zaspu an?eli""",Croatian,1,,9,70,24,24,,,,
18,2000,Sweden,Roger Pontare,1,,,,1,"""When Spirits Are Calling My Name""",English,1,,7,88,24,24,,,,
19,2000,Macedonia,XXL,,,,1,,"""100% te ljubam"" (100% ?? ?????)","Macedonian, English",1,,15,29,24,24,,,,
20,2000,Finland,Nina èstr?m,,1,,,1,"""A Little Bit""",English,1,,18,18,24,24,,,,
21,2000,Latvia,Brainstorm,,,,1,1,"""My Star""",English,1,,3,136,24,24,,,,
22,2000,Turkey,P?nar Ayhan?&?The SOS,,1,,1,1,"""Yorgunum Anla""","Turkish, English",1,,10,59,24,24,,,,
23,2000,Ireland,Eamonn Toal,,1,,,,"""Millennium of Love""",English,1,,6,92,24,24,,,,
24,2000,Austria,The Rounder Girls,,1,,1,,"""All To You""",English,1,,14,34,24,24,,,,
1,2001,Netherlands,Michelle Courtens,,1,,,,"""Out On My Own""",English,1,,18,16,23,23,,,,
2,2001,Iceland,Two Tricky,1,,1,,,"""Angel""",English,1,,22,3,23,23,,,,
3,2001,Bosnia and Herzegovina,Nino Pr?e?,1,,,,,"""Hano""","Bosnian,?English",1,,14,29,23,23,,,,
4,2001,Norway,Haldor L?greid,1,,,,,"""On My Own""",English,1,,22,3,23,23,,,,
5,2001,Israel,Tal Sondak,1,,,,1,"""En Davar"" (??? ???)",Hebrew,1,,16,25,23,23,,,,
6,2001,Russia,Mumiy Troll,,,,1,1,"""Lady Alpine Blue""",English,1,,12,37,23,23,,,,
7,2001,Sweden,Friends,,,,1,1,"""Listen To Your Heartbeat""",English,1,,5,100,23,23,,,,
8,2001,Lithuania,SKAMP,,,,1,1,"""You Got Style""","English,?Lithuanian",1,,13,35,23,23,,,,
9,2001,Latvia,Arnis Mednis,1,,,,,"""Too Much""",English,1,,18,16,23,23,,,,
10,2001,Croatia,Vanna,,1,,,1,"""Strings of My Heart""",English,1,,10,42,23,23,,,,
11,2001,Portugal,MTM,,1,,1,,"""S? sei ser feliz assim""",Portuguese,1,,17,18,23,23,,,,
12,2001,Ireland,Gary O'Shaughnessy,1,,,,1,"""Without Your Love""",English,1,,21,6,23,23,,,,
13,2001,Spain,David Civera,1,,,,1,"""Dile que la quiero""",Spanish,1,,6,76,23,23,,,,
14,2001,France,Natasha St-Pier,,1,,,1,"""Je n'ai que mon ?me""","French,?English",1,,4,142,23,23,,,,
15,2001,Turkey,Sedat YÅce,1,,,,1,"""Sevgiliye Son""","Turkish,?English",1,,11,41,23,23,,,,
16,2001,United Kingdom,Lindsay Dracass,,1,,,,"""No Dream Impossible""",English,1,,15,28,23,23,,,,
17,2001,Slovenia,Nu?a Derenda,,1,,,1,"""Energy""",English,1,,7,70,23,23,,,,
18,2001,Poland,Piasek,1,,,,,"""2 Long""",English,1,,20,11,23,23,,,,
19,2001,Germany,Michelle,,1,,,1,"""Wer Liebe lebt""","German,?English",1,,8,66,23,23,,,,
20,2001,Estonia,"Tanel Padar,?Dave Benton,?2XL",1,,,1,1,"""Everybody""",English,1,,1,198,23,23,,,,
21,2001,Malta,Fabrizio Faniello,1,,,,1,"""Another Summer Night""",English,1,,9,48,23,23,,,,
22,2001,Greece,Antique,1,1,1,,,"""Die for You""","English,?Greek",1,,3,147,23,23,,,,
23,2001,Denmark,Rollo & King,1,,1,,,"""Never Ever Let You Go""",English,1,,2,177,23,23,,,,
1,2002,Cyprus,One,,,,1,1,"""Gimme""",English,1,,6,85,24,24,,,,
2,2002,United Kingdom,Jessica Garlick,,1,,,,"""Come Back""",English,1,,3,111,24,24,,,,
3,2002,Austria,Manuel Ortega,1,,,,1,"""Say a Word""",English,1,,18,26,24,24,,,,
